host_is_superhost,city,country,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count
f,Whitehorse,Australia,-37.8563052,145.1806004,Private room,2,1.0,1.0,1.0,53,2,2,90.0,f,2
t,Boroondara,Australia,-37.84560609,145.0566022,Entire home/apt,2,1.5,1.0,1.0,120,2,84,98.0,f,1
f,Monash,Australia,-37.91408873,145.1229103,Private room,2,1.5,1.0,1.0,46,1,3,73.0,t,7
t,Stonnington,Australia,-37.85647687,144.9973849,Private room,4,1.0,2.0,2.0,107,1,76,100.0,f,1
f,Melton,Australia,-37.67301126,144.5563824,Private room,2,1.0,1.0,1.0,58,1,2,100.0,t,2
t,Maribyrnong,Australia,-37.76866092,144.8936844,Private room,1,1.0,1.0,1.0,46,1,6,100.0,f,2
f,Port Phillip,Australia,-37.87709049,144.9831903,Entire home/apt,2,1.0,1.0,1.0,101,2,94,91.0,t,1
t,Melbourne,Australia,-37.81449756,144.9524501,Entire home/apt,2,1.0,1.0,1.0,188,1,140,97.0,t,35
f,Darebin,Australia,-37.73911448,145.0098451,Private room,1,1.0,1.0,1.0,40,1,2,60.0,t,5
f,Yarra,Australia,-37.80112452,145.0033074,Entire home/apt,4,2.0,2.0,2.0,120,6,2,100.0,f,2
f,Yarra,Australia,-37.78721822,144.9844016,Entire home/apt,2,1.0,1.0,1.0,98,7,17,95.0,f,1
f,Port Phillip,Australia,-37.85208415,144.9808085,Private room,2,1.0,0.0,1.0,180,1,3,100.0,f,2
f,Moreland,Australia,-37.77517172,144.9706522,Private room,1,1.0,1.0,1.0,51,30,5,100.0,t,1
t,Port Phillip,Australia,-37.8718903,144.9822997,Entire home/apt,2,1.0,1.0,1.0,90,2,9,93.0,f,1
t,Melbourne,Australia,-37.80710378,144.9549257,Private room,2,1.0,1.0,1.0,71,2,36,97.0,f,1
t,Stonnington,Australia,-37.8528432,144.9850308,Entire home/apt,4,2.0,2.0,2.0,190,1,25,95.0,t,17
f,Port Phillip,Australia,-37.86654016,144.9852749,Private room,2,1.0,1.0,2.0,55,3,17,99.0,f,1
f,Melbourne,Australia,-37.81930164,144.9424628,Entire home/apt,4,2.5,2.0,2.0,170,1,11,100.0,t,15
f,Yarra,Australia,-37.80646917,144.9864019,Private room,2,1.0,1.0,1.0,100,3,1,100.0,t,1
f,Whitehorse,Australia,-37.81605281,145.2090065,Shared room,2,1.5,1.0,2.0,25,3,1,80.0,t,14
t,Moreland,Australia,-37.75591593,144.9734694,Private room,1,1.0,1.0,1.0,55,4,16,99.0,f,1
f,Monash,Australia,-37.88109859,145.1651289,Entire home/apt,2,1.0,0.0,1.0,90,2,99,96.0,t,5
f,Yarra,Australia,-37.80836049,144.9828573,Entire home/apt,2,1.0,1.0,1.0,145,2,6,87.0,f,3
t,Darebin,Australia,-37.76474795,145.0105927,Entire home/apt,2,1.0,1.0,1.0,84,2,40,99.0,f,1
t,Melbourne,Australia,-37.81395281,144.9602893,Entire home/apt,2,1.0,1.0,1.0,127,5,80,93.0,t,1
t,Melbourne,Australia,-37.81748464,144.9550217,Private room,2,1.0,1.0,1.0,109,1,161,97.0,t,1
f,Monash,Australia,-37.8745536,145.1030202,Private room,2,1.0,1.0,1.0,30,7,10,100.0,f,4
t,Boroondara,Australia,-37.80835829,145.0400847,Entire home/apt,5,1.0,2.0,3.0,136,2,33,95.0,t,9
f,Melbourne,Australia,-37.81466655,144.942701,Entire home/apt,4,1.0,2.0,3.0,186,2,3,87.0,f,21
f,Darebin,Australia,-37.75484367,145.0021342,Entire home/apt,2,1.0,1.0,1.0,96,4,3,93.0,f,1
f,Stonnington,Australia,-37.83540526,144.9909879,Entire home/apt,3,1.0,1.0,1.0,140,3,2,100.0,f,1
